Video ID,Comments,Comment Count
nGDVMIwGi54,,257
VGVFoxC0JrM,,53
LBBI2MEQ10E,,22
h6v2H6BFINo,,41
gosJoVsA0vI,,68
ZMosfSsP9CM,,15
yd8MkGODzYY,,114
pX8YupjfXME,,46
h1OPM0-2n3g,,10
NY0UGYJ1OFc,,0
i1rlytoxQ1o,,1609
5U-YlLY32l0,,1110
-pNUf3ov3iI,,46
knCjScmNnJE,,26
BWVoTOx5l6Q,,16
VbpNEycegdg,,37
_Qep1GypJuU,,0
KSh48BALeFw,,1151
IAYX64ACkY8,,0
aXjeCpxdO_8,,1
WHjHMaYGJ-4,,0
1kQPo7A_SHg,,0
Gdqp-viGjLo,,878
Fzk-iAeM9ro,,0
uVCiimYJzyo,,0
4ohM55MuqpE,,0
QyaBROTJ9Bw,,1143
RAcdFmfsyTM,,0
glVzr6dMO_c,,0
siqCPv_rBcE,,0
oElP9uf2he4,,4
35-p66ghE0w,,0
c-69AyuNhko,,8
ZvkzHPJmuhM,,204
j5qnSUmyzqw,,0
ArcJqcYAeeA,,0
w4xt7YToCwA,,0
j6MWvmN_m1E,,6
6pOg9lz51pQ,,0
DqNtfTEaj-Q,,965
GJ3acXqHSUs,,67
VwRXiwSkKoE,,4
IrUCRJUjuoQ,,0
a1WTwj-NVmc,,0
alYB9NoFFwI,,0
96c4axaMjfU,,0
zSPjVIsX12E,,0
RGVIfM6hsNc,,12
n6FKeusF9Yo,,133
y3OT0bM6O6U,,613
kOBYR0-VMlA,,163
a89cORa6qns,,114
d-O2U4HpFWU,,0
lDLsRcaUo88,,11
9CVkcdNHo9c,,120
GsAtc8SaDy8,,0
eMf2Si_VZ_I,,1297
gra1HeDMvec,,40
dxLJOdr6Xdo,,10
o1uhr-xHK6U,,0
2tKMOOxFnc8,,0
AkUzE4bQxt8,,313
c64ZzqoOq58,,111
eibyyiJJGcM,,0
tVqLmnjEDKY,,77
BwkfXM5s7b0,,294
t6PwoqHjT28,,0
hedMOideZY8,,25
mRMzZVjyYY8,,55
J2KKG74VEY4,,19
8p412TXn7dU,,87
PXdxFD-tDoc,,11
h4mY9ANCEQg,,38
7kq4qkeVybo,,74
PHGI50tMyzc,,0
d9r6-yK8QbQ,,0
uiT6JEa0BdM,,0
DYryCh1jltg,,0
U34bXp-mma0,,140
BcIRJWEL_UQ,,0
nNbaKjdlcLk,,0
6mhJ61DfqN0,,1740
-zqPgIz-h8s,,0
6UfIZEdcrwY,,11
GI5Y_yiO0rM,,9
eynQ0t4GcQE,,0
FvYr2JMprqY,,398
fLdaXJ0jNCE,,0
CThEFpFZVV4,,0
UytOYcAd_Kk,,143
XCzA5ldzaD8,,31
Vi_nOOoSETw,,0
atEDIQ5Bzho,,65
IqKnsuVS6yE,,0
J-MnoFpaN9o,,0
LUwAVuS0cio,,69
pbPbuiAxb5k,,120
vC1ktYvPccU,,0
Ih2dT51uVvs,,572
g34yFvtplM8,,0
DxswG82q7P8,,988
-8SFEklhc7Y,,1823
u4vQcB5qHmo,,0
BWdG0QNzjtM,,221
kZTEe8A2DlQ,,9
LWpyD1qRs8I,,156
prALX3c4CiY,,0
Q-dynUJsLd4,,0
W9eAjneIs9s,,6538
2Uo7tZBR7no,,1395
MJYhrOO9xZY,,0
cZKiLPZpZgc,,12
iDobc1umpUc,,1
yHMM4LUI4Dk,,0
VrHnyq8y02c,,0
8zuwvaXAux4,,0
CCknbr83S-Y,,0
rCSwQcyEiIc,,0
AB220rGjvjw,,1
izqXiV7y9VY,,1851
_GYuPrFpt68,,681
9vziNKmRBoE,,0
dwTc91dCoag,,0
gTnKzMt0Kno,,283
ATnO5JjPD2o,,292
Q5qdIYIss38,,612
5HxJr7ZRKvY,,272
7cSUaMVq2nM,,2394
KrMII3Y0UJc,,12
WErNBLqdLrY,,83
lJR6g_Gzqko,,7517
P-hpSwXsDGo,,29
3cb99fQHzs8,,0
5eVNXEHGv2o,,3
WVa3j0rUCLY,,0
2t5fnRyoYBA,,116
U1aTH7czmH4,,0
YgBxpQjteBo,,0
RwQxExwUfio,,0
6vasoT32Hu8,,0
dXttBJ5rm8c,,0
P86d9PaoSts,,0
Dsr8Zsa3l4A,,0
G5rkVISDiaw,,0
LQkXdfaO1ew,,0
LzdjTEFuc8o,,1
2UD6aYIB62w,,588
HMh9SNMHciA,,0
vw5Q0GY-avA,,12
yXIiVp2LxAg,,910
zVoV2RIszNg,,353
LmdXEvY7FdI,,17
fgqjTO3-_Mg,,0
cX3VILC_4Qg,,1
p3YO_IkgXBo,,54
CRWDYbKyq8M,,30
gZ0H3jmOPDg,,0
UPFxplPTpUU,,4
FdzptbGaAkY,,1682
v5cPP_eHqq8,,1242
XzZv_3HxohA,,2
KA6kkwe2zUI,,3
cgY3_mbgR0Q,,9
qUJ97XqAwO0,,0
D59npKW7lgQ,,0
fXG-N0-susY,,0
WgRtTU3Aeb0,,5
sB1m5zW1b5A,,49
D4lzFteAOZY,,9
VQHU-cdxOcE,,11
i7CZpxX8ZhU,,0
3-ZkRwBN54s,,313
Gs6KAYTaw5k,,359
MODKBF7RnNc,,0
2vLzeSC0UP8,,71
dytncO3M_QQ,,72
h2mecvSfT8w,,36
TPESHXe8B0I,,97
JYeP0xZYvEk,,0
Frm0lAhU_vU,,0
JYOaPvZ5ur0,,6
YIA3Sjy21aA,,0
NGqLkCUWxKI,,704
6uyjmt23Y4Q,,0
cVj87Pef-Y8,,0
IA-Lk2LlvkI,,0
wC5V5t-RqgY,,0
2FqGzmKf1fg,,0
W_u61jekEeU,,0
nIf3TbCsT7M,,0
gqht0qzWWko,,1
KdV2lNfHerk,,0
PCkxDa5vDBo,,0
UPnKAn3_AB4,,8
BzJoXeVblJg,,34
vQZzpXS66dM,,25
2kcjVK84lKU,,15
VWpyZlkIWgc,,175
VBPtc7rzVE8,,120
to8mQVw1Lso,,0
pc9nErTk4MM,,117
KUYSym04w2k,,0
6yvRQYlyQdg,,0
mkekPpSo17E,,43
PvCkV2wdxLo,,6
zDa-HzCFoIo,,0
YUdq6H3EcLE,,44
qmaFtKtmLY0,,11
AWUNSAlPbVQ,,0
OJsGmX4aUkk,,0
2cIvKTQ9FJM,,4
jkytlp91onQ,,7
Lz36W8rt7do,,247
JybE3-UX0sM,,286
NpIsfBad98A,,0
xucLvuB5Xgs,,0
wWkpiCWvAlc,,0
N6B-umOVnz4,,0
uCQfZluNq1I,,36
AAeSsVCsrA4,,114
6NUC5BIvCEE,,0
G_lpQG4fNlI,,19860
v54d2CERsPY,,0
XQwm8ndZ2a4,,411
CVldSgFnZyY,,1
9X0BXGN2CdM,,0
tiR_1p2S6no,,0
HvOyztlB4FM,,0
B0QMeHPeWa4,,0
NPJscNvgeD0,,119
1NZiG99SN7g,,77
iShqIapTCV8,,30
_YdXvZkngkc,,0
