Video ID,Comments,Comment Count
9ENv3Vy716o,,2239
keBi-IV5F_c,,2285
KEAARjI-G-E,,2323
PfmXm6ucyOM,,2353
rH-dbIHR_lw,,2365
xXKInf1luP8,,2377
7cSUaMVq2nM,,2394
Gkoxn6Nyijk,,2409
Ed1NqTzN42Q,,2430
5jyqRp9ZrZw,,2430
GzJhqhEnOM0,,2447
-GGNccaLb34,,2485
f-UzOpuKOVY,,2505
S9OurEobSIk,,2570
Y81LxX5olzE,,2576
YPlIhgAX9AQ,,2745
SyEyMkVjHfQ,,2759
BSRUv2EyHrs,,2792
9GvPvlWLhlI,,2798
Wd9bx1HeLlw,,2845
oOzr18KsFKQ,,2852
UTpOyqD4omw,,2857
vuo4wbREE4U,,2866
OFhuh254M4w,,2870
P0KasU0HXD0,,2873
y2pBnyUfsHo,,2926
cjUc2ih8FMs,,2980
Ni8KPvf1ydQ,,3004
WuMWwPHTSoY,,3081
u9CaWsUppMY,,3099
VYeebGo0HYI,,3128
HhWum37Mg8o,,3313
Y3dnvwkS3c4,,3352
mcVQe3ncNYw,,3379
IuxkqjSydUo,,3405
P3Ld5wHfVW4,,3414
TnzxAlICHoM,,3461
AxVWMUcStxk,,3525
clsZqb0eT8A,,3636
aX-zsq9UJpc,,3655
